0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,6.0,74.0,0.6514892578125,1.0
1,6.0,8.0,8.0,16.0,8.0,8.0,8.0,6.0,8.0,6.0,82.0,0.65673828125,1.0
2,6.0,8.0,8.0,16.0,8.0,8.0,8.0,6.0,8.0,8.0,84.0,0.6571044921875,1.0
3,6.0,8.0,8.0,16.0,16.0,8.0,8.0,6.0,8.0,6.0,90.0,0.657470703125,1.0
4,6.0,8.0,8.0,16.0,16.0,8.0,8.0,8.0,8.0,6.0,92.0,0.6580810546875,1.0
5,6.0,8.0,16.0,16.0,8.0,8.0,8.0,6.0,8.0,6.0,90.0,0.657470703125,0.0
6,6.0,16.0,8.0,16.0,16.0,8.0,8.0,8.0,8.0,6.0,100.0,0.659423828125,1.0
7,8.0,8.0,8.0,8.0,8.0,8.0,8.0,6.0,8.0,6.0,76.0,0.6553955078125,1.0
8,8.0,8.0,8.0,8.0,8.0,16.0,8.0,8.0,8.0,6.0,86.0,0.6573486328125,1.0
9,8.0,8.0,8.0,16.0,8.0,8.0,8.0,16.0,8.0,6.0,94.0,0.658935546875,1.0
10,8.0,8.0,16.0,16.0,8.0,16.0,8.0,8.0,8.0,6.0,102.0,0.659912109375,1.0
11,8.0,8.0,16.0,16.0,8.0,16.0,8.0,16.0,8.0,6.0,110.0,0.660888671875,1.0
12,16.0,8.0,16.0,16.0,16.0,16.0,8.0,8.0,8.0,6.0,118.0,0.6614990234375,1.0
