0,16.0,8.0,16.0,8.0,8.0,6.0,8.0,6.0,8.0,16.0,6.0,212.0,0.8525390625,1.0
1,8.0,16.0,8.0,8.0,8.0,8.0,6.0,6.0,8.0,16.0,4.0,192.0,0.8427734375,1.0
2,6.0,8.0,8.0,8.0,6.0,8.0,8.0,16.0,8.0,4.0,6.0,172.0,0.8330078125,1.0
3,6.0,8.0,8.0,8.0,6.0,8.0,8.0,6.0,8.0,8.0,6.0,160.0,0.83203125,1.0
4,6.0,8.0,8.0,6.0,8.0,8.0,8.0,6.0,4.0,8.0,4.0,148.0,0.80859375,1.0
5,6.0,8.0,8.0,6.0,6.0,8.0,8.0,6.0,4.0,8.0,4.0,144.0,0.7998046875,1.0
6,6.0,8.0,8.0,6.0,6.0,8.0,8.0,8.0,4.0,4.0,4.0,140.0,0.796875,1.0
7,6.0,8.0,6.0,6.0,6.0,8.0,8.0,6.0,4.0,6.0,4.0,136.0,0.794921875,1.0
8,6.0,8.0,6.0,6.0,6.0,8.0,6.0,6.0,4.0,6.0,4.0,132.0,0.7421875,1.0
9,6.0,8.0,6.0,6.0,6.0,8.0,6.0,6.0,4.0,4.0,4.0,128.0,0.73583984375,1.0
10,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,6.0,124.0,0.7079063057899475,1.0
11,6.0,6.0,6.0,6.0,6.0,8.0,6.0,4.0,4.0,4.0,4.0,120.0,0.68994140625,1.0
