0,8.0,8.0,6.0,16.0,8.0,8.0,6.0,6.0,6.0,8.0,8.0,8.0,6.0,6.0,6.0,8.0,244.0,0.87109375,1.0
1,6.0,8.0,6.0,4.0,6.0,8.0,8.0,6.0,8.0,6.0,6.0,8.0,4.0,8.0,8.0,8.0,216.0,0.8544921875,1.0
2,8.0,6.0,8.0,8.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,8.0,8.0,6.0,204.0,0.8515625,1.0
3,6.0,8.0,6.0,4.0,6.0,8.0,6.0,6.0,8.0,4.0,6.0,8.0,6.0,8.0,6.0,4.0,200.0,0.8193359375,1.0
4,6.0,6.0,6.0,4.0,8.0,8.0,6.0,6.0,8.0,4.0,6.0,8.0,4.0,8.0,6.0,4.0,196.0,0.80078125,1.0
5,6.0,8.0,6.0,4.0,6.0,4.0,6.0,6.0,8.0,4.0,6.0,8.0,4.0,8.0,6.0,6.0,192.0,0.791015625,1.0
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,4.0,6.0,6.0,6.0,6.0,6.0,4.0,188.0,0.75732421875,1.0
7,8.0,6.0,6.0,4.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,184.0,0.7520741820335388,1.0
8,6.0,6.0,6.0,4.0,6.0,4.0,6.0,6.0,8.0,6.0,6.0,6.0,4.0,6.0,6.0,4.0,180.0,0.7291361689567566,1.0
9,6.0,6.0,6.0,4.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,6.0,6.0,6.0,176.0,0.7205954194068909,1.0
10,8.0,4.0,6.0,4.0,6.0,4.0,6.0,6.0,4.0,4.0,6.0,6.0,4.0,6.0,6.0,6.0,172.0,0.6796875,1.0
11,6.0,6.0,6.0,4.0,6.0,4.0,6.0,6.0,4.0,6.0,6.0,4.0,4.0,6.0,6.0,4.0,168.0,0.66552734375,1.0
