No.;Layer;Output Size;Accuracy;Latency [ms];Energy [mJ];Sensor Latency;Sensor Latency IQR;Sensor Energy;Link Latency;Link Energy;Edge Latency;Edge Latency IQR;Edge Energy
1;Identity;(1, 3, 224, 224);0.7159424;115.91922622403285;1.4701716;0;0;0;2.450286;1.4701716;113.46894022403285;0.0;0
2;Conv2d: 2-1;[1, 64, 224, 224];0;0.903168;0.6922805247504858;0.903168;0;0.6922805247504858;0;0;0;0;0
3;ReLU: 2-2;[1, 64, 224, 224];0;0.903168;0.6922805247504858;0.903168;0;0.6922805247504858;0;0;0;0;0
4;Conv2d: 2-3;[1, 64, 224, 224];0;15.353856;18.72075171605826;15.353856;0;18.72075171605826;0;0;0;0;0
5;ReLU: 2-4;[1, 64, 224, 224];0;15.353856;18.72075171605826;15.353856;0;18.72075171605826;0;0;0;0;0
6;MaxPool2d: 2-5;[1, 64, 112, 112];0;28.42171;26.56146411605826;15.353856;0;18.72075171605826;13.067854;7.8407124;0;0;0
7;Conv2d: 2-6;[1, 128, 112, 112];0;48.71467;38.72845719660615;22.5792;0;23.047175196606148;26.13547;15.681282000000001;0;0;0
8;ReLU: 2-7;[1, 128, 112, 112];0;48.71467;38.72845719660615;22.5792;0;23.047175196606148;26.13547;15.681282000000001;0;0;0
9;Conv2d: 2-8;[1, 128, 112, 112];0;63.165358;47.260200789100324;37.029888;0;31.57891878910032;26.13547;15.681282000000001;0;0;0
10;ReLU: 2-9;[1, 128, 112, 112];0;63.165358;47.260200789100324;37.029888;0;31.57891878910032;26.13547;15.681282000000001;0;0;0
11;MaxPool2d: 2-10;[1, 128, 56, 56];0.7175293;133.28348021421175;35.499346389100324;37.029888;0;31.57891878910032;6.534046;3.9204276;89.71954621421173;0.0;0
12;Conv2d: 2-11;[1, 256, 56, 56];0;57.323086;44.271516768649235;44.255232;0;36.430804368649234;13.067854;7.8407124;0;0;0
13;ReLU: 2-12;[1, 256, 56, 56];0;57.323086;44.271516768649235;44.255232;0;36.430804368649234;13.067854;7.8407124;0;0;0
14;Conv2d: 2-13;[1, 256, 56, 56];0;71.773774;53.91473624344626;58.70592;0;46.074023843446255;13.067854;7.8407124;0;0;0
15;ReLU: 2-14;[1, 256, 56, 56];0;71.773774;53.91473624344626;58.70592;0;46.074023843446255;13.067854;7.8407124;0;0;0
16;Conv2d: 2-15;[1, 256, 56, 56];0;86.224462;63.55795571824328;73.156608;0;55.71724331824328;13.067854;7.8407124;0;0;0
17;ReLU: 2-16;[1, 256, 56, 56];0;86.224462;63.55795571824328;73.156608;0;55.71724331824328;13.067854;7.8407124;0;0;0
18;MaxPool2d: 2-17;[1, 256, 28, 28];0.71203613;144.31417923818373;57.677466118243274;73.156608;0;55.71724331824328;3.267038;1.9602228;67.8905332381837;0.0;0
19;Conv2d: 2-18;[1, 512, 28, 28];0.7133789;149.74044385813212;63.76477096383263;80.38195200000001;0;59.844343363832635;6.534046;3.9204276;62.8244458581321;0.0;0
20;ReLU: 2-19;[1, 512, 28, 28];0.7163086;144.92424584766883;63.76477096383263;80.38195200000001;0;59.844343363832635;6.534046;3.9204276;58.00824784766883;0.0;0
21;Conv2d: 2-20;[1, 512, 28, 28];0.71899414;157.03270919572122;71.99469807833039;94.83264000000001;0;68.07427047833039;6.534046;3.9204276;55.66602319572121;0.0;0
22;ReLU: 2-21;[1, 512, 28, 28];0.71362305;152.67807317802243;71.99469807833039;94.83264000000001;0;68.07427047833039;6.534046;3.9204276;51.311387178022414;0.0;0
23;Conv2d: 2-22;[1, 512, 28, 28];0.7095947;160.16036425591466;80.22462519282813;109.28332800000001;0;76.30419759282813;6.534046;3.9204276;44.34299025591463;0.0;0
24;ReLU: 2-23;[1, 512, 28, 28];0.71569824;161.81724061970618;80.22462519282813;109.28332800000001;0;76.30419759282813;6.534046;3.9204276;45.999866619706154;0.0;0
25;MaxPool2d: 2-24;[1, 512, 14, 14];0.71533203;154.53661286200983;77.28431799282814;109.28332800000001;0;76.30419759282813;1.633534;0.9801204;43.61975086200982;0.0;0
26;Conv2d: 2-25;[1, 512, 14, 14];0.71936035;158.05523417008112;79.4617139218367;112.89600000000002;0;78.4815935218367;1.633534;0.9801204;43.52570017008111;0.0;0
27;ReLU: 2-26;[1, 512, 14, 14];0.7188721;155.20772573820318;79.4617139218367;112.89600000000002;0;78.4815935218367;1.633534;0.9801204;40.67819173820317;0.0;0
28;Conv2d: 2-27;[1, 512, 14, 14];0.70581055;155.31362573599793;81.63910985084527;116.50867200000002;0;80.65898945084527;1.633534;0.9801204;37.171419735997915;0.0;0
29;ReLU: 2-28;[1, 512, 14, 14];0.7303467;155.86188021192677;81.63910985084527;116.50867200000002;0;80.65898945084527;1.633534;0.9801204;37.71967421192676;0.0;0
30;Conv2d: 2-29;[1, 512, 14, 14];0.7149658;149.98639896988635;83.81650577985384;120.12134400000002;0;82.83638537985384;1.633534;0.9801204;28.231520969886333;0.0;0
31;ReLU: 2-30;[1, 512, 14, 14];0.7113037;143.09539045776938;83.81650577985384;120.12134400000002;0;82.83638537985384;1.633534;0.9801204;21.340512457769364;0.0;0
32;MaxPool2d: 2-31;[1, 512, 7, 7];0.711792;139.60595903025356;83.08149137985384;120.12134400000002;0;82.83638537985384;0.40851;0.245106;19.07610503025353;0.0;0
33;AdaptiveAvgPool2d: 1-2;[1, 512, 7, 7];0.7147217;132.27143277964902;83.08149137985384;120.12134400000002;0;82.83638537985384;0.40851;0.245106;11.74157877964899;0.0;0
34;Linear: 2-32;[1, 4096];0.7114258;122.50864336604272;82.87647377985384;120.12134400000002;0;82.83638537985384;0.06681400000000001;0.04008840000000001;2.3204853660427034;0.0;0
35;ReLU: 2-33;[1, 4096];0.7211914;122.51052429398541;82.87647377985384;120.12134400000002;0;82.83638537985384;0.06681400000000001;0.04008840000000001;2.3223662939853966;0.0;0
36;Linear: 2-35;[1, 4096];0.71191406;120.50359135411699;82.87647377985384;120.12134400000002;0;82.83638537985384;0.06681400000000001;0.04008840000000001;0.31543335411697626;0.0;0
37;ReLU: 2-36;[1, 4096];0.71728516;120.50208063201998;82.87647377985384;120.12134400000002;0;82.83638537985384;0.06681400000000001;0.04008840000000001;0.31392263201996684;0.0;0
38;Linear: 2-38;[1, 1000];0.7126465;120.14099714991542;82.84625297985384;120.12134400000002;0;82.83638537985384;0.016446000000000002;0.0098676;0.003207149915397167;0.0;0
